scorer,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM,HM
individuals,m1,m1,m1,m1,m2,m2,m2,m2,m3,m3,m3,m3,m4,m4,m4,m4,m5,m5,m5,m5
bodyparts,snout,snout,tail,tail,snout,snout,tail,tail,snout,snout,tail,tail,snout,snout,tail,tail,snout,snout,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c0.png",,,,,,,,,,,,,96.61226492017306,334.786541998624,,,247.64139583464078,308.30740865647704,,
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c1.png",,,,,,,,,,,,,44.61226492017306,351.786541998624,,,195.64139583464078,325.30740865647704,,
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c2.png",,,,,,,,,,,,,75.61226492017306,272.786541998624,,,226.64139583464078,246.30740865647704,130.04159456791945,375.2705951191556
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c3.png",,,380.97349318221484,326.1772889309739,,,,,,,,,,,,,,,,
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c4.png",,,371.97349318221484,327.1772889309739,,,,,,,,,,,,,,,,
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c5.png",,,,,,,,,,,81.38215005002849,149.4343777816706,247.61226492017306,207.786541998624,,,398.6413958346408,181.30740865647704,302.04159456791945,310.2705951191556
"labeled-data/2020-10-07_09-36-59_n=5,OF,10min_2-converted_cropped/img00136c6.png",176.206758652669,271.0920531214865,60.97349318221484,292.1772889309739,167.38038087195343,244.61291977933956,152.17939691627646,104.37158393019115,166.39967222965163,79.3635135514968,294.3821500500285,177.4343777816706,,,,,,,,
